Run,Map,Algorithm,Rep,Outcome,Duration_s,EagleHP,EagleHPMax,EagleHPLostPct,AgentCount,EnemiesAlive,TotalReplans,TotalRecoveries,TotalShots,TotalCells
1,Alpha32,AStar,1,EagleDestroyed,35.39,-1,500,0.0,6,6,161,0,74756,59
2,Alpha32,AStar,2,EagleDestroyed,35.28,-1,500,0.0,6,6,160,0,67386,64
3,Alpha32,AStar,3,EagleDestroyed,35.40,-1,500,0.0,6,6,161,0,73742,67
4,Alpha32,AStar,4,EagleDestroyed,35.48,-1,500,0.0,6,6,163,0,55695,66
5,Alpha32,AStar,5,EagleDestroyed,35.53,-1,500,0.0,6,6,160,0,64752,62
6,Alpha32,AStar,6,EagleDestroyed,35.32,-1,500,0.0,6,6,162,0,45340,60
7,Alpha32,PIBT,1,EagleDestroyed,32.66,-1,500,0.0,6,6,136,0,61955,57
8,Alpha32,PIBT,2,EagleDestroyed,32.18,-1,500,0.0,6,6,169,0,65585,58
9,Alpha32,PIBT,3,EagleDestroyed,31.77,-1,500,0.0,6,6,134,0,54110,55
10,Alpha32,PIBT,4,EagleDestroyed,31.69,-1,500,0.0,6,6,135,0,68629,53
11,Alpha32,PIBT,5,EagleDestroyed,32.11,-1,500,0.0,6,6,120,0,57011,66
12,Alpha32,PIBT,6,EagleDestroyed,31.60,-1,500,0.0,6,6,134,0,68081,60
13,Alpha32,PIBT_TCP,1,EagleDestroyed,34.37,-1,500,0.0,6,6,412,0,59363,104
14,Alpha32,PIBT_TCP,2,EagleDestroyed,35.20,-1,500,0.0,6,6,397,0,58595,115
15,Alpha32,PIBT_TCP,3,EagleDestroyed,34.10,-1,500,0.0,6,6,382,0,60047,98
16,Alpha32,PIBT_TCP,4,EagleDestroyed,34.72,-1,500,0.0,6,6,375,0,73360,99
17,Alpha32,PIBT_TCP,5,EagleDestroyed,34.45,-1,500,0.0,6,6,381,0,54246,112
18,Alpha32,PIBT_TCP,6,EagleDestroyed,34.77,-1,500,0.0,6,6,429,0,64210,102
19,Mansion,AStar,1,EagleDestroyed,98.51,-1,500,0.0,6,6,673,0,51224,259
20,Mansion,AStar,2,EagleDestroyed,97.98,-1,500,0.0,6,6,674,0,49126,322
21,Mansion,AStar,3,EagleDestroyed,98.49,-1,500,0.0,6,6,681,0,55904,333
22,Mansion,AStar,4,EagleDestroyed,98.83,-1,500,0.0,6,6,675,0,45808,327
23,Mansion,AStar,5,EagleDestroyed,98.62,-1,500,0.0,6,6,675,0,46034,319
24,Mansion,AStar,6,EagleDestroyed,98.09,-1,500,0.0,6,6,678,0,53706,324
25,Mansion,PIBT,1,EagleDestroyed,99.11,-1,500,0.0,6,6,3999,0,33022,325
26,Mansion,PIBT,2,EagleDestroyed,96.81,-1,500,0.0,6,6,3224,0,40361,287
27,Mansion,PIBT,3,EagleDestroyed,111.53,-1,500,0.0,6,6,2417,0,39188,303
28,Mansion,PIBT,4,EagleDestroyed,96.70,-1,500,0.0,6,6,3731,0,40164,293
29,Mansion,PIBT,5,EagleDestroyed,111.93,-1,500,0.0,6,6,4407,0,40647,308
30,Mansion,PIBT,6,EagleDestroyed,104.32,-1,500,0.0,6,6,3714,0,37102,315
31,Mansion,PIBT_TCP,1,EagleDestroyed,100.73,-1,500,0.0,6,6,773,0,65468,487
32,Mansion,PIBT_TCP,2,EagleDestroyed,100.46,-1,500,0.0,6,6,818,0,80601,435
33,Mansion,PIBT_TCP,3,EagleDestroyed,101.11,-1,500,0.0,6,6,805,0,69480,441
34,Mansion,PIBT_TCP,4,EagleDestroyed,99.70,-1,500,0.0,6,6,863,0,47888,518
35,Mansion,PIBT_TCP,5,EagleDestroyed,102.45,-1,500,0.0,6,6,776,0,45923,458
36,Mansion,PIBT_TCP,6,EagleDestroyed,101.67,-1,500,0.0,6,6,800,0,53370,457
37,Chantry,AStar,1,EagleDestroyed,131.66,-1,500,0.0,6,6,944,0,46000,483
38,Chantry,AStar,2,EagleDestroyed,131.83,-1,500,0.0,6,6,941,0,48222,468
39,Chantry,AStar,3,EagleDestroyed,130.71,-1,500,0.0,6,6,942,0,68422,439
40,Chantry,AStar,4,EagleDestroyed,131.04,-1,500,0.0,6,6,946,0,51529,432
41,Chantry,AStar,5,EagleDestroyed,132.23,-1,500,0.0,6,6,949,0,54577,467
42,Chantry,AStar,6,EagleDestroyed,132.19,-1,500,0.0,6,6,942,0,46299,435
43,Chantry,PIBT,1,EagleDestroyed,126.98,-1,500,0.0,6,6,4229,0,36521,372
44,Chantry,PIBT,2,EagleDestroyed,129.07,-1,500,0.0,6,6,2527,0,30087,418
45,Chantry,PIBT,3,EagleDestroyed,128.69,-1,500,0.0,6,6,3719,0,30447,409
46,Chantry,PIBT,4,EagleDestroyed,127.50,-1,500,0.0,6,6,4145,0,43296,396
47,Chantry,PIBT,5,EagleDestroyed,126.38,-1,500,0.0,6,6,3463,0,37438,388
48,Chantry,PIBT,6,EagleDestroyed,127.88,-1,500,0.0,6,6,3619,0,39879,344
49,Chantry,PIBT_TCP,1,EagleDestroyed,135.10,-1,500,0.0,6,6,1030,0,57460,676
50,Chantry,PIBT_TCP,2,EagleDestroyed,135.74,-1,500,0.0,6,6,988,0,64114,624
51,Chantry,PIBT_TCP,3,EagleDestroyed,137.08,-1,500,0.0,6,6,1201,0,46420,698
52,Chantry,PIBT_TCP,4,EagleDestroyed,135.64,-1,500,0.0,6,6,1072,0,65706,739
53,Chantry,PIBT_TCP,5,EagleDestroyed,134.65,-1,500,0.0,6,6,1058,0,60809,577
54,Chantry,PIBT_TCP,6,EagleDestroyed,126.99,-1,500,0.0,6,6,1124,0,63181,664
55,Gallows,AStar,1,EagleDestroyed,112.18,-1,500,0.0,6,6,789,0,45720,413
56,Gallows,AStar,2,EagleDestroyed,112.66,-1,500,0.0,6,6,788,0,64914,447
57,Gallows,AStar,3,EagleDestroyed,112.62,-1,500,0.0,6,6,782,0,47972,427
58,Gallows,AStar,4,EagleDestroyed,112.35,-1,500,0.0,6,6,786,0,45248,374
59,Gallows,AStar,5,EagleDestroyed,112.11,-1,500,0.0,6,6,783,0,55971,450
60,Gallows,AStar,6,EagleDestroyed,111.70,-1,500,0.0,6,6,782,0,36528,428
61,Gallows,PIBT,1,EagleDestroyed,122.47,-1,500,0.0,6,6,4510,0,15669,395
62,Gallows,PIBT,2,EagleDestroyed,121.59,-1,500,0.0,6,6,4193,0,16784,357
63,Gallows,PIBT,3,EagleDestroyed,122.68,-1,500,0.0,6,6,4930,0,19253,327
64,Gallows,PIBT,4,EagleDestroyed,123.70,-1,500,0.0,6,6,4766,0,12579,374
65,Gallows,PIBT,5,EagleDestroyed,121.27,-1,500,0.0,6,6,3535,0,16990,445
