Run,Map,Algorithm,Rep,Outcome,Duration_s,EagleHP,EagleHPMax,EagleHPLostPct,AgentCount,EnemiesAlive,TotalReplans,TotalRecoveries,TotalShots,TotalCells
1,Alpha32,AStar,1,EagleDestroyed,40.33,-1,500,0.0,6,6,237,0,65383,77
2,Alpha32,AStar,2,EagleDestroyed,40.43,-1,500,0.0,6,6,238,0,64825,80
3,Alpha32,AStar,3,EagleDestroyed,40.48,-1,500,0.0,6,6,238,0,64634,78
4,Alpha32,AStar,4,EagleDestroyed,40.43,-1,500,0.0,6,6,238,0,64824,78
5,Alpha32,AStar,5,EagleDestroyed,40.37,-1,500,0.0,6,6,238,0,65159,78
6,Alpha32,AStar,6,EagleDestroyed,40.46,-1,500,0.0,6,6,238,0,65780,78
7,Alpha32,PIBT,1,EagleDestroyed,36.80,-1,500,0.0,6,6,179,0,62483,71
8,Alpha32,PIBT,2,EagleDestroyed,37.63,-1,500,0.0,6,6,178,0,67351,69
9,Alpha32,PIBT,3,EagleDestroyed,36.71,-1,500,0.0,6,6,178,0,64432,67
10,Alpha32,PIBT,4,EagleDestroyed,37.63,-1,500,0.0,6,6,177,0,68483,69
11,Alpha32,PIBT,5,EagleDestroyed,37.63,-1,500,0.0,6,6,177,0,68911,70
12,Alpha32,PIBT,6,EagleDestroyed,36.80,-1,500,0.0,6,6,178,0,66020,69
13,Alpha32,PIBT_TCP,1,EagleDestroyed,39.91,-1,500,0.0,6,6,179,0,65921,124
14,Alpha32,PIBT_TCP,2,EagleDestroyed,40.93,-1,500,0.0,6,6,178,0,65241,125
15,Alpha32,PIBT_TCP,3,EagleDestroyed,40.91,-1,500,0.0,6,6,178,0,68172,123
16,Alpha32,PIBT_TCP,4,EagleDestroyed,41.80,-1,500,0.0,6,6,177,0,67431,127
17,Alpha32,PIBT_TCP,5,EagleDestroyed,40.45,-1,500,0.0,6,6,177,0,64421,124
18,Alpha32,PIBT_TCP,6,EagleDestroyed,40.97,-1,500,0.0,6,6,178,0,69253,122
19,Mansion,AStar,1,EagleDestroyed,113.00,-1,500,0.0,6,6,1006,0,52635,392
20,Mansion,AStar,2,EagleDestroyed,113.46,-1,500,0.0,6,6,1013,0,52632,384
