Run,Map,Algorithm,Rep,Outcome,AgentName,Replans,Recoveries,Shots,CellsVisited,InitialPathLen,DeadAtEnd
1,Alpha32,AStar,1,EagleDestroyed,Enemy_10,24,0,635,8,25,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_5,20,0,838,7,21,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_2,25,0,566,8,25,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_7,24,0,604,7,24,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_1,27,0,509,9,28,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_6,41,2,0,12,24,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_4,40,1,0,13,25,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_11,16,0,1036,7,19,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_12,38,0,0,15,28,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_9,27,0,477,9,25,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_3,37,1,56,8,29,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_8,16,0,1056,9,17,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_6,26,0,384,7,24,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_11,21,1,680,8,17,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_12,33,1,195,12,26,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_4,107,2,0,7,25,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_3,30,0,255,9,25,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_7,612,0,0,8,24,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_5,16,0,892,7,17,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_10,104,0,307,11,25,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_2,26,0,469,8,17,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_8,17,0,816,7,15,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_1,42,3,0,10,26,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_9,391,0,0,9,25,0
3,Alpha32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_2,44,1,666,11,0,0
3,Alpha32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_1,44,1,0,15,0,0
3,Alpha32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_8,44,2,491,9,0,0
3,Alpha32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_10,44,3,0,6,0,0
3,Alpha32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_11,42,0,761,11,0,0
3,Alpha32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_3,44,0,361,18,0,0
3,Alpha32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_9,42,0,362,18,0,0
3,Alpha32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_7,43,1,219,17,0,0
3,Alpha32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_4,45,2,0,16,0,0
3,Alpha32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_6,42,0,424,19,0,0
3,Alpha32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_12,43,2,0,13,0,0
3,Alpha32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_5,43,1,557,12,0,0
