Run,Map,Algorithm,Rep,Outcome,AgentName,Replans,Recoveries,Shots,CellsVisited,InitialPathLen,DeadAtEnd
1,Alpha32,AStar,1,EagleDestroyed,Enemy_2,57,0,4863,18,30,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_4,27,0,15540,10,19,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_5,45,0,8520,14,30,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_3,36,0,12067,12,25,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_6,34,0,12958,12,25,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_1,38,0,11435,11,25,0
2,Alpha32,AStar,2,EagleDestroyed,Enemy_3,36,0,11989,12,25,0
2,Alpha32,AStar,2,EagleDestroyed,Enemy_5,46,0,8477,18,30,0
2,Alpha32,AStar,2,EagleDestroyed,Enemy_1,38,0,11343,11,25,0
2,Alpha32,AStar,2,EagleDestroyed,Enemy_4,27,0,15368,10,19,0
2,Alpha32,AStar,2,EagleDestroyed,Enemy_6,34,0,12780,13,25,0
2,Alpha32,AStar,2,EagleDestroyed,Enemy_2,57,0,4868,16,30,0
3,Alpha32,AStar,3,EagleDestroyed,Enemy_1,38,0,11323,11,25,0
3,Alpha32,AStar,3,EagleDestroyed,Enemy_5,46,0,8470,16,30,0
3,Alpha32,AStar,3,EagleDestroyed,Enemy_4,27,0,15274,10,19,0
3,Alpha32,AStar,3,EagleDestroyed,Enemy_3,36,0,11978,12,25,0
3,Alpha32,AStar,3,EagleDestroyed,Enemy_6,34,0,12779,13,25,0
3,Alpha32,AStar,3,EagleDestroyed,Enemy_2,57,0,4810,16,30,0
4,Alpha32,AStar,4,EagleDestroyed,Enemy_5,46,0,8592,16,30,0
4,Alpha32,AStar,4,EagleDestroyed,Enemy_2,57,0,4859,16,30,0
4,Alpha32,AStar,4,EagleDestroyed,Enemy_3,36,0,11985,12,25,0
4,Alpha32,AStar,4,EagleDestroyed,Enemy_4,27,0,15259,10,19,0
4,Alpha32,AStar,4,EagleDestroyed,Enemy_1,38,0,11341,11,25,0
4,Alpha32,AStar,4,EagleDestroyed,Enemy_6,34,0,12788,13,25,0
5,Alpha32,AStar,5,EagleDestroyed,Enemy_2,57,0,4796,16,30,0
5,Alpha32,AStar,5,EagleDestroyed,Enemy_1,38,0,11527,11,25,0
5,Alpha32,AStar,5,EagleDestroyed,Enemy_3,36,0,12177,12,25,0
5,Alpha32,AStar,5,EagleDestroyed,Enemy_5,46,0,8096,17,30,0
5,Alpha32,AStar,5,EagleDestroyed,Enemy_6,34,0,13076,12,25,0
5,Alpha32,AStar,5,EagleDestroyed,Enemy_4,27,0,15487,10,19,0
6,Alpha32,AStar,6,EagleDestroyed,Enemy_3,36,0,12167,12,25,0
6,Alpha32,AStar,6,EagleDestroyed,Enemy_4,27,0,15677,10,19,0
6,Alpha32,AStar,6,EagleDestroyed,Enemy_2,57,0,4833,16,30,0
6,Alpha32,AStar,6,EagleDestroyed,Enemy_5,46,0,8594,16,30,0
6,Alpha32,AStar,6,EagleDestroyed,Enemy_6,34,0,12982,13,25,0
6,Alpha32,AStar,6,EagleDestroyed,Enemy_1,38,0,11527,11,25,0
7,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_6,27,0,11373,10,21,0
7,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_3,25,0,12860,14,19,0
7,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_2,39,0,6448,12,30,0
7,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_5,40,0,6161,18,30,0
7,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_4,21,0,14256,7,19,0
7,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_1,27,0,11385,10,21,0
8,Alpha32,PIBT,2,EagleDestroyed,EnemyPIBT_3,25,0,13495,14,19,0
8,Alpha32,PIBT,2,EagleDestroyed,EnemyPIBT_2,39,0,7048,12,30,0
8,Alpha32,PIBT,2,EagleDestroyed,EnemyPIBT_5,39,0,7758,16,30,0
8,Alpha32,PIBT,2,EagleDestroyed,EnemyPIBT_1,27,0,12112,10,21,0
8,Alpha32,PIBT,2,EagleDestroyed,EnemyPIBT_4,21,0,14889,7,19,0
8,Alpha32,PIBT,2,EagleDestroyed,EnemyPIBT_6,27,0,12049,10,21,0
9,Alpha32,PIBT,3,EagleDestroyed,EnemyPIBT_2,39,0,6657,12,30,0
9,Alpha32,PIBT,3,EagleDestroyed,EnemyPIBT_6,27,0,11562,10,21,0
9,Alpha32,PIBT,3,EagleDestroyed,EnemyPIBT_1,27,0,11619,8,21,0
9,Alpha32,PIBT,3,EagleDestroyed,EnemyPIBT_4,21,0,14383,7,19,0
9,Alpha32,PIBT,3,EagleDestroyed,EnemyPIBT_5,39,0,7231,16,30,0
9,Alpha32,PIBT,3,EagleDestroyed,EnemyPIBT_3,25,0,12980,14,19,0
10,Alpha32,PIBT,4,EagleDestroyed,EnemyPIBT_3,25,0,13674,14,19,0
10,Alpha32,PIBT,4,EagleDestroyed,EnemyPIBT_2,39,0,7181,12,30,0
10,Alpha32,PIBT,4,EagleDestroyed,EnemyPIBT_6,27,0,12307,10,21,0
10,Alpha32,PIBT,4,EagleDestroyed,EnemyPIBT_1,27,0,12307,10,21,0
10,Alpha32,PIBT,4,EagleDestroyed,EnemyPIBT_5,38,0,7935,16,30,0
10,Alpha32,PIBT,4,EagleDestroyed,EnemyPIBT_4,21,0,15079,7,19,0
11,Alpha32,PIBT,5,EagleDestroyed,EnemyPIBT_5,38,0,8040,17,30,0
11,Alpha32,PIBT,5,EagleDestroyed,EnemyPIBT_3,25,0,13745,14,19,0
11,Alpha32,PIBT,5,EagleDestroyed,EnemyPIBT_6,27,0,12339,10,21,0
11,Alpha32,PIBT,5,EagleDestroyed,EnemyPIBT_2,39,0,7316,12,30,0
11,Alpha32,PIBT,5,EagleDestroyed,EnemyPIBT_1,27,0,12340,10,21,0
11,Alpha32,PIBT,5,EagleDestroyed,EnemyPIBT_4,21,0,15131,7,19,0
12,Alpha32,PIBT,6,EagleDestroyed,EnemyPIBT_5,39,0,7515,16,30,0
12,Alpha32,PIBT,6,EagleDestroyed,EnemyPIBT_3,25,0,13258,13,19,0
12,Alpha32,PIBT,6,EagleDestroyed,EnemyPIBT_6,27,0,11824,10,21,0
12,Alpha32,PIBT,6,EagleDestroyed,EnemyPIBT_4,21,0,14678,8,19,0
12,Alpha32,PIBT,6,EagleDestroyed,EnemyPIBT_2,39,0,6903,12,30,0
12,Alpha32,PIBT,6,EagleDestroyed,EnemyPIBT_1,27,0,11842,10,21,0
13,Alpha32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_3,25,0,16996,14,0,0
13,Alpha32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_4,21,0,14203,17,0,0
13,Alpha32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_5,40,0,3662,29,0,0
13,Alpha32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_1,27,0,12625,18,0,0
13,Alpha32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_6,27,0,13014,18,0,0
