Run,Map,Algorithm,Rep,Outcome,AgentName,Replans,Recoveries,Shots,CellsVisited,InitialPathLen,DeadAtEnd
1,Alpha32,AStar,1,EagleDestroyed,Enemy_6,18,0,8057,7,21,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_3,32,0,4639,14,29,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_4,27,0,5964,11,18,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_2,30,0,4852,13,30,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_1,37,0,3024,17,30,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_5,16,0,8993,8,18,0
2,Alpha32,AStar,2,EagleDestroyed,Enemy_3,32,0,4717,13,29,0
2,Alpha32,AStar,2,EagleDestroyed,Enemy_1,38,0,3028,16,30,0
2,Alpha32,AStar,2,EagleDestroyed,Enemy_4,27,0,6044,10,18,0
2,Alpha32,AStar,2,EagleDestroyed,Enemy_5,16,0,9110,9,18,0
2,Alpha32,AStar,2,EagleDestroyed,Enemy_2,31,0,4775,13,30,0
2,Alpha32,AStar,2,EagleDestroyed,Enemy_6,19,0,8161,7,21,0
3,Alpha32,LNS2,1,EagleDestroyed,EnemyLNS2_6,17,0,8566,7,17,0
3,Alpha32,LNS2,1,EagleDestroyed,EnemyLNS2_4,19,0,8253,6,16,0
3,Alpha32,LNS2,1,EagleDestroyed,EnemyLNS2_2,32,0,4684,13,30,0
3,Alpha32,LNS2,1,EagleDestroyed,EnemyLNS2_1,31,0,4841,9,30,0
3,Alpha32,LNS2,1,EagleDestroyed,EnemyLNS2_5,15,0,9155,8,16,0
3,Alpha32,LNS2,1,EagleDestroyed,EnemyLNS2_3,30,0,5260,12,29,0
4,Alpha32,LNS2,2,EagleDestroyed,EnemyLNS2_3,31,0,4479,13,29,0
4,Alpha32,LNS2,2,EagleDestroyed,EnemyLNS2_6,17,0,8478,7,17,0
4,Alpha32,LNS2,2,EagleDestroyed,EnemyLNS2_4,19,0,8135,6,16,0
4,Alpha32,LNS2,2,EagleDestroyed,EnemyLNS2_2,31,0,4711,12,30,0
4,Alpha32,LNS2,2,EagleDestroyed,EnemyLNS2_5,15,0,9132,8,16,0
4,Alpha32,LNS2,2,EagleDestroyed,EnemyLNS2_1,31,0,4525,9,30,0
