Run,Map,Algorithm,Rep,Outcome,AgentName,Replans,Recoveries,Shots,CellsVisited,InitialPathLen,DeadAtEnd
1,Rooms32,AStar,1,EagleDestroyed,Enemy_1,26,0,1140,11,24,0
1,Rooms32,AStar,1,EagleDestroyed,Enemy_3,1073,1,0,6,29,0
1,Rooms32,AStar,1,EagleDestroyed,Enemy_2,21,0,1349,7,23,0
1,Rooms32,AStar,1,EagleDestroyed,Enemy_12,1073,0,0,10,26,0
1,Rooms32,AStar,1,EagleDestroyed,Enemy_4,37,0,931,9,25,0
1,Rooms32,AStar,1,EagleDestroyed,Enemy_5,1031,0,0,13,25,0
1,Rooms32,AStar,1,EagleDestroyed,Enemy_10,1050,0,0,9,27,0
1,Rooms32,AStar,1,EagleDestroyed,Enemy_8,1050,0,0,9,37,0
1,Rooms32,AStar,1,EagleDestroyed,Enemy_6,1024,0,0,9,28,0
1,Rooms32,AStar,1,EagleDestroyed,Enemy_7,1047,2,0,11,30,0
1,Rooms32,AStar,1,EagleDestroyed,Enemy_9,1050,0,0,8,31,0
1,Rooms32,AStar,1,EagleDestroyed,Enemy_11,31,0,1095,10,25,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_9,845,0,0,15,31,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_2,22,0,1181,7,23,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_5,31,0,805,12,25,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_7,819,0,0,13,32,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_11,28,0,945,8,25,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_6,799,1,0,13,28,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_1,26,0,970,10,24,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_10,965,0,0,10,29,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_8,671,0,0,15,39,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_12,988,0,0,11,26,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_4,890,0,0,12,25,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_3,895,0,0,13,29,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_4,65,0,959,23,0,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_2,62,0,1315,18,0,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_12,62,0,424,31,0,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_7,63,0,0,25,0,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_8,63,0,0,34,0,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_5,63,0,1018,23,0,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_11,63,0,196,34,0,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_9,62,0,0,24,0,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_3,62,0,0,25,0,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_10,63,0,970,21,0,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_1,64,1,1277,19,0,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_6,63,0,658,27,0,0
