Run,Map,Algorithm,Rep,Outcome,AgentName,Replans,Recoveries,Shots,CellsVisited,InitialPathLen,DeadAtEnd
1,Rooms32,AStar,1,EagleDestroyed,Enemy_12,1325,3,0,6,29,0
1,Rooms32,AStar,1,EagleDestroyed,Enemy_1,1332,0,0,7,25,0
1,Rooms32,AStar,1,EagleDestroyed,Enemy_4,1316,0,0,10,29,0
1,Rooms32,AStar,1,EagleDestroyed,Enemy_11,1310,0,0,9,30,0
1,Rooms32,AStar,1,EagleDestroyed,Enemy_15,26,0,1361,9,25,0
1,Rooms32,AStar,1,EagleDestroyed,Enemy_6,31,0,1193,12,26,0
1,Rooms32,AStar,1,EagleDestroyed,Enemy_8,1348,1,0,9,35,0
1,Rooms32,AStar,1,EagleDestroyed,Enemy_9,1317,1,0,9,27,0
1,Rooms32,AStar,1,EagleDestroyed,Enemy_2,23,0,1503,8,23,0
1,Rooms32,AStar,1,EagleDestroyed,Enemy_7,1318,0,0,7,27,0
1,Rooms32,AStar,1,EagleDestroyed,Enemy_13,1317,0,0,10,21,0
1,Rooms32,AStar,1,EagleDestroyed,Enemy_3,1341,0,0,11,28,0
1,Rooms32,AStar,1,EagleDestroyed,Enemy_14,1310,0,0,8,27,0
1,Rooms32,AStar,1,EagleDestroyed,Enemy_5,35,0,1202,12,26,0
1,Rooms32,AStar,1,EagleDestroyed,Enemy_10,1348,1,0,7,36,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_12,419,1,0,13,29,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_8,285,0,0,14,37,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_1,109,0,454,8,25,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_5,525,0,0,10,26,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_11,401,1,0,14,30,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_10,299,0,0,16,38,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_4,463,0,0,12,29,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_9,40,0,296,14,27,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_6,359,0,0,12,26,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_3,529,0,0,9,28,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_2,23,0,614,12,23,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_7,415,0,0,8,27,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_14,463,0,0,11,29,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_13,22,0,655,6,21,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_15,579,0,0,9,25,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_3,91,3,322,23,0,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_13,71,1,1720,17,0,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_14,74,0,417,36,0,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_2,72,0,1430,20,0,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_1,72,0,1450,18,0,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_9,69,0,0,31,0,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_6,70,1,1246,24,0,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_8,71,0,0,32,0,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_7,69,0,0,26,0,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_5,75,1,0,25,0,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_15,71,0,605,34,0,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_11,69,0,0,38,0,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_10,71,0,0,31,0,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_4,75,2,0,27,0,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_12,69,0,0,44,0,0
