Run,Map,Algorithm,Rep,Outcome,AgentName,Replans,Recoveries,Shots,CellsVisited,InitialPathLen,DeadAtEnd
1,Alpha32,AStar,1,EagleDestroyed,Enemy_1,38,0,2286,14,30,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_2,31,0,3584,13,30,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_3,32,0,3541,14,29,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_6,19,0,5908,7,21,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_4,26,0,4564,11,18,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_5,18,0,6153,9,18,0
2,Alpha32,AStar,2,EagleDestroyed,Enemy_3,32,0,3685,14,29,0
2,Alpha32,AStar,2,EagleDestroyed,Enemy_4,27,0,4773,10,18,0
2,Alpha32,AStar,2,EagleDestroyed,Enemy_1,38,0,2300,16,30,0
2,Alpha32,AStar,2,EagleDestroyed,Enemy_2,31,0,3756,13,30,0
2,Alpha32,AStar,2,EagleDestroyed,Enemy_5,18,0,6813,9,18,0
2,Alpha32,AStar,2,EagleDestroyed,Enemy_6,19,0,6509,7,21,0
3,Alpha32,LNS2,1,EagleDestroyed,EnemyLNS2_6,17,0,6629,7,17,0
3,Alpha32,LNS2,1,EagleDestroyed,EnemyLNS2_5,15,0,7086,8,16,0
3,Alpha32,LNS2,1,EagleDestroyed,EnemyLNS2_3,31,0,3373,14,29,0
3,Alpha32,LNS2,1,EagleDestroyed,EnemyLNS2_2,31,0,3586,12,30,0
3,Alpha32,LNS2,1,EagleDestroyed,EnemyLNS2_1,31,0,3429,9,30,0
3,Alpha32,LNS2,1,EagleDestroyed,EnemyLNS2_4,19,0,6345,6,16,0
4,Alpha32,LNS2,2,EagleDestroyed,EnemyLNS2_3,31,0,3588,14,29,0
4,Alpha32,LNS2,2,EagleDestroyed,EnemyLNS2_6,17,0,6806,7,17,0
4,Alpha32,LNS2,2,EagleDestroyed,EnemyLNS2_1,30,0,3777,10,30,0
4,Alpha32,LNS2,2,EagleDestroyed,EnemyLNS2_5,15,0,7295,8,16,0
4,Alpha32,LNS2,2,EagleDestroyed,EnemyLNS2_4,19,0,6525,6,16,0
4,Alpha32,LNS2,2,EagleDestroyed,EnemyLNS2_2,31,0,3799,12,30,0
