Run,Map,Algorithm,Rep,Outcome,AgentName,Replans,Recoveries,Shots,CellsVisited,InitialPathLen,DeadAtEnd
1,Alpha32,AStar,1,EagleDestroyed,Enemy_12,20,0,214,9,22,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_4,20,0,243,4,24,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_32,16,0,322,8,19,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_36,31,0,0,8,29,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_14,18,0,268,6,21,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_27,31,0,0,4,28,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_3,24,0,110,11,27,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_5,29,0,38,7,25,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_13,31,0,0,7,21,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_31,29,0,0,9,25,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_25,31,0,0,10,22,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_24,19,0,242,8,21,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_9,27,0,49,5,30,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_35,30,0,0,10,32,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_28,30,0,0,10,28,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_30,23,0,159,8,22,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_34,30,0,0,9,25,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_11,30,0,0,8,25,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_1,31,0,0,6,33,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_7,22,0,184,9,26,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_19,30,0,0,7,27,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_15,26,0,62,10,24,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_6,18,0,265,7,21,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_16,18,0,276,7,21,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_10,31,0,0,7,28,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_20,29,0,0,11,24,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_23,18,0,267,3,17,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_33,22,0,164,8,22,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_22,17,0,321,7,18,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_8,31,1,0,7,29,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_18,32,0,0,10,29,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_21,23,0,145,10,21,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_29,31,0,0,7,25,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_2,31,0,0,7,32,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_26,29,0,34,6,25,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_17,31,0,8,10,24,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_29,30,0,23,4,25,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_17,22,0,72,1,24,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_31,24,0,53,4,19,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_10,29,0,1,7,30,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_3,47,0,12,4,23,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_16,19,0,112,1,21,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_5,18,0,118,2,19,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_18,46,0,0,1,27,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_19,30,0,0,6,27,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_22,26,0,68,2,22,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_6,32,0,63,1,21,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_11,80,0,0,5,25,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_27,30,0,0,3,28,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_36,30,0,0,4,29,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_15,29,0,12,5,18,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_32,21,0,101,3,17,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_8,27,0,11,5,25,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_7,24,0,46,3,22,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_35,31,0,0,5,26,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_26,46,0,0,5,25,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_14,22,0,96,4,17,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_28,27,0,11,4,28,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_21,25,0,32,5,25,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_30,38,0,32,2,22,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_13,24,0,38,5,19,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_12,20,0,101,3,24,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_23,11,0,146,0,21,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_1,30,0,0,7,29,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_34,58,0,0,3,23,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_4,23,0,56,2,20,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_25,21,0,84,3,22,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_24,19,0,112,2,19,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_33,58,0,0,2,22,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_9,43,0,0,5,28,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_20,28,0,11,5,24,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_2,30,0,0,8,26,0
3,Alpha32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_28,29,0,0,21,0,0
3,Alpha32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_19,29,0,0,20,0,0
3,Alpha32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_13,30,0,1358,12,0,0
3,Alpha32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_18,29,0,0,18,0,0
3,Alpha32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_8,29,0,0,17,0,0
3,Alpha32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_32,30,0,839,14,0,0
3,Alpha32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_2,29,0,130,19,0,0
3,Alpha32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_20,29,0,0,18,0,0
3,Alpha32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_4,30,0,472,17,0,0
