Run,Map,Algorithm,Rep,Outcome,Duration_s,EagleHP,AgentCount,EnemiesAlive,TotalReplans,TotalRecoveries,TotalShots,TotalCells
1,Alpha32,AStar,1,EagleDestroyed,38.78,-1,6,6,187,1,31414,68
2,Alpha32,PIBT,1,EagleDestroyed,36.81,-1,6,6,165,20,33297,60
