Run,Map,Algorithm,Rep,Outcome,Duration_s,EagleHP,EagleHPMax,EagleHPLostPct,AgentCount,EnemiesAlive,TotalReplans,TotalRecoveries,TotalShots,TotalCells
55,Gallows,AStar,1,EagleDestroyed,106.96,-1,500,0.0,6,6,627,0,380,202
56,Gallows,AStar,2,EagleDestroyed,107.01,-1,500,0.0,6,6,623,0,253,203
57,Gallows,AStar,3,EagleDestroyed,107.01,-1,500,0.0,6,6,652,0,272,181
58,Gallows,AStar,4,EagleDestroyed,106.85,-1,500,0.0,6,6,621,0,375,184
59,Gallows,AStar,5,EagleDestroyed,104.91,-1,500,0.0,6,6,589,0,284,181
60,Gallows,AStar,6,EagleDestroyed,105.61,-1,500,0.0,6,6,631,0,312,203
61,Gallows,PIBT,1,EagleDestroyed,122.66,-1,500,0.0,6,6,601,0,102,231
62,Gallows,PIBT,2,EagleDestroyed,125.22,-1,500,0.0,6,6,469,0,88,173
63,Gallows,PIBT,3,EagleDestroyed,119.70,-1,500,0.0,6,6,720,0,56,209
64,Gallows,PIBT,4,EagleDestroyed,120.92,-1,500,0.0,6,6,568,0,89,179
65,Gallows,PIBT,5,EagleDestroyed,121.57,-1,500,0.0,6,6,680,0,79,196
66,Gallows,PIBT,6,EagleDestroyed,124.78,-1,500,0.0,6,6,688,0,78,168
67,Gallows,PIBT_TCP,1,EagleDestroyed,115.38,-1,500,0.0,6,6,622,0,1429,384
68,Gallows,PIBT_TCP,2,EagleDestroyed,111.96,-1,500,0.0,6,6,687,0,1148,457
69,Gallows,PIBT_TCP,3,EagleDestroyed,119.10,-1,500,0.0,6,6,625,0,1219,374
70,Gallows,PIBT_TCP,4,EagleDestroyed,117.10,-1,500,0.0,6,6,624,0,1417,472
71,Gallows,PIBT_TCP,5,EagleDestroyed,109.53,-1,500,0.0,6,6,638,0,1353,473
72,Gallows,PIBT_TCP,6,EagleDestroyed,114.18,-1,500,0.0,6,6,646,0,1165,525
73,Maze128,AStar,1,Timeout,180.00,490,500,2.1,6,6,770,0,1631,415
74,Maze128,AStar,2,Timeout,180.00,491,500,1.9,6,6,855,0,2417,385
75,Maze128,AStar,3,Timeout,180.00,492,500,1.6,6,6,840,0,2254,468
76,Maze128,AStar,4,Timeout,180.00,490,500,2.0,6,6,827,0,2038,345
