Run,Map,Algorithm,Rep,Outcome,AgentName,Replans,Recoveries,Shots,CellsVisited,InitialPathLen,DeadAtEnd
1,Mansion,AStar,1,EagleDestroyed,Enemy_6,121,0,0,48,125,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_5,108,0,57,44,98,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_3,68,0,247,25,60,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_1,121,0,0,42,133,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_4,76,0,210,36,70,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_2,122,0,0,48,146,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_1,124,0,0,48,127,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_3,65,0,248,22,58,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_5,197,0,0,30,94,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_2,124,0,0,38,140,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_4,70,0,226,27,64,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_6,124,0,0,44,125,0
3,Mansion,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_6,103,0,0,72,0,0
3,Mansion,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_3,89,0,290,51,0,0
3,Mansion,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_5,102,0,0,81,0,0
3,Mansion,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_4,87,0,291,57,0,0
3,Mansion,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_1,90,0,0,97,0,0
3,Mansion,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_2,92,0,0,97,0,0
