Run,Map,Algorithm,Rep,Outcome,AgentName,Replans,Recoveries,Shots,CellsVisited,InitialPathLen,DeadAtEnd
1,Alpha32,AStar,1,EagleDestroyed,Enemy_6,25,0,13347,11,25,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_5,33,0,9756,12,30,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_3,24,0,13880,10,25,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_2,57,6,0,15,30,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_4,18,0,17156,6,19,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_1,28,0,11660,9,25,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_1,28,5,10560,9,21,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_5,52,17,0,8,30,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_3,20,0,14724,12,19,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_4,16,0,16468,7,19,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_6,21,0,13831,8,21,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_2,49,20,0,5,30,0
3,Alpha32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_3,76,0,17432,12,0,0
3,Alpha32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_2,76,1,0,20,0,0
3,Alpha32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_1,80,1,10390,15,0,0
3,Alpha32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_6,76,0,13993,15,0,0
3,Alpha32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_5,76,0,7404,23,0,0
3,Alpha32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_4,77,1,8940,15,0,0
4,Mansion,AStar,1,EagleDestroyed,Enemy_6,146,0,0,63,125,0
4,Mansion,AStar,1,EagleDestroyed,Enemy_3,88,1,25737,30,60,0
4,Mansion,AStar,1,EagleDestroyed,Enemy_4,92,2,23899,39,70,0
4,Mansion,AStar,1,EagleDestroyed,Enemy_5,148,2,0,54,98,0
4,Mansion,AStar,1,EagleDestroyed,Enemy_2,148,3,0,51,146,0
4,Mansion,AStar,1,EagleDestroyed,Enemy_1,148,0,0,59,133,0
5,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_3,123,37,25740,25,58,0
5,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_1,201,73,0,50,127,0
5,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_2,205,68,0,43,140,0
5,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_5,2395,46,0,46,94,0
5,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_6,203,66,0,48,125,0
5,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_4,128,36,24734,32,64,0
6,Mansion,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_3,183,0,41589,52,0,0
6,Mansion,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_4,177,2,29663,57,0,0
6,Mansion,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_5,177,4,784,85,0,0
6,Mansion,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_1,174,1,0,106,0,0
