Run,Map,Algorithm,Rep,Outcome,AgentName,Replans,Recoveries,Shots,CellsVisited,InitialPathLen,DeadAtEnd
1,Alpha32,AStar,1,EagleDestroyed,Enemy_2,38,0,4421,15,30,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_4,18,0,14127,8,19,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_5,30,0,7745,12,30,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_3,24,0,10970,10,25,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_6,23,0,11780,10,25,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_1,25,0,10395,9,25,0
2,Alpha32,AStar,2,EagleDestroyed,Enemy_3,24,0,10899,10,25,0
2,Alpha32,AStar,2,EagleDestroyed,Enemy_5,31,0,7706,15,30,0
2,Alpha32,AStar,2,EagleDestroyed,Enemy_1,25,0,10312,9,25,0
2,Alpha32,AStar,2,EagleDestroyed,Enemy_4,18,0,13971,8,19,0
2,Alpha32,AStar,2,EagleDestroyed,Enemy_6,23,0,11618,11,25,0
2,Alpha32,AStar,2,EagleDestroyed,Enemy_2,38,0,4425,13,30,0
3,Alpha32,AStar,3,EagleDestroyed,Enemy_1,25,0,10294,9,25,0
3,Alpha32,AStar,3,EagleDestroyed,Enemy_5,31,0,7700,13,30,0
3,Alpha32,AStar,3,EagleDestroyed,Enemy_4,18,0,13885,8,19,0
3,Alpha32,AStar,3,EagleDestroyed,Enemy_3,24,0,10889,10,25,0
3,Alpha32,AStar,3,EagleDestroyed,Enemy_6,23,0,11617,11,25,0
3,Alpha32,AStar,3,EagleDestroyed,Enemy_2,38,0,4373,13,30,0
4,Alpha32,AStar,4,EagleDestroyed,Enemy_5,31,0,7811,13,30,0
4,Alpha32,AStar,4,EagleDestroyed,Enemy_2,38,0,4417,13,30,0
4,Alpha32,AStar,4,EagleDestroyed,Enemy_3,24,0,10895,10,25,0
4,Alpha32,AStar,4,EagleDestroyed,Enemy_4,18,0,13872,8,19,0
4,Alpha32,AStar,4,EagleDestroyed,Enemy_1,25,0,10310,9,25,0
4,Alpha32,AStar,4,EagleDestroyed,Enemy_6,23,0,11625,11,25,0
5,Alpha32,AStar,5,EagleDestroyed,Enemy_2,38,0,4360,13,30,0
5,Alpha32,AStar,5,EagleDestroyed,Enemy_1,25,0,10479,9,25,0
5,Alpha32,AStar,5,EagleDestroyed,Enemy_3,24,0,11070,10,25,0
5,Alpha32,AStar,5,EagleDestroyed,Enemy_5,31,0,7360,14,30,0
5,Alpha32,AStar,5,EagleDestroyed,Enemy_6,23,0,11887,10,25,0
5,Alpha32,AStar,5,EagleDestroyed,Enemy_4,18,0,14079,8,19,0
6,Alpha32,AStar,6,EagleDestroyed,Enemy_3,24,0,11061,10,25,0
6,Alpha32,AStar,6,EagleDestroyed,Enemy_4,18,0,14252,8,19,0
6,Alpha32,AStar,6,EagleDestroyed,Enemy_2,38,0,4394,13,30,0
6,Alpha32,AStar,6,EagleDestroyed,Enemy_5,31,0,7813,13,30,0
6,Alpha32,AStar,6,EagleDestroyed,Enemy_6,23,0,11802,11,25,0
6,Alpha32,AStar,6,EagleDestroyed,Enemy_1,25,0,10479,9,25,0
7,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_6,21,0,10339,8,21,0
7,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_3,19,0,11691,12,19,0
7,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_2,30,0,5862,10,30,0
7,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_5,31,0,5601,15,30,0
7,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_4,16,0,12960,6,19,0
7,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_1,21,0,10350,8,21,0
8,Alpha32,PIBT,2,EagleDestroyed,EnemyPIBT_3,19,0,12268,12,19,0
8,Alpha32,PIBT,2,EagleDestroyed,EnemyPIBT_2,30,0,6407,10,30,0
8,Alpha32,PIBT,2,EagleDestroyed,EnemyPIBT_5,30,0,7053,13,30,0
8,Alpha32,PIBT,2,EagleDestroyed,EnemyPIBT_1,21,0,11011,8,21,0
8,Alpha32,PIBT,2,EagleDestroyed,EnemyPIBT_4,16,0,13535,6,19,0
8,Alpha32,PIBT,2,EagleDestroyed,EnemyPIBT_6,21,0,10954,8,21,0
9,Alpha32,PIBT,3,EagleDestroyed,EnemyPIBT_2,30,0,6052,10,30,0
9,Alpha32,PIBT,3,EagleDestroyed,EnemyPIBT_6,21,0,10511,8,21,0
9,Alpha32,PIBT,3,EagleDestroyed,EnemyPIBT_1,21,0,10563,7,21,0
9,Alpha32,PIBT,3,EagleDestroyed,EnemyPIBT_4,16,0,13075,6,19,0
9,Alpha32,PIBT,3,EagleDestroyed,EnemyPIBT_5,30,0,6574,13,30,0
9,Alpha32,PIBT,3,EagleDestroyed,EnemyPIBT_3,19,0,11800,12,19,0
10,Alpha32,PIBT,4,EagleDestroyed,EnemyPIBT_3,19,0,12431,12,19,0
10,Alpha32,PIBT,4,EagleDestroyed,EnemyPIBT_2,30,0,6528,10,30,0
10,Alpha32,PIBT,4,EagleDestroyed,EnemyPIBT_6,21,0,11188,8,21,0
10,Alpha32,PIBT,4,EagleDestroyed,EnemyPIBT_1,21,0,11188,8,21,0
10,Alpha32,PIBT,4,EagleDestroyed,EnemyPIBT_5,29,0,7214,13,30,0
10,Alpha32,PIBT,4,EagleDestroyed,EnemyPIBT_4,16,0,13708,6,19,0
11,Alpha32,PIBT,5,EagleDestroyed,EnemyPIBT_5,29,0,7309,14,30,0
11,Alpha32,PIBT,5,EagleDestroyed,EnemyPIBT_3,19,0,12495,12,19,0
11,Alpha32,PIBT,5,EagleDestroyed,EnemyPIBT_6,21,0,11217,8,21,0
11,Alpha32,PIBT,5,EagleDestroyed,EnemyPIBT_2,30,0,6651,10,30,0
11,Alpha32,PIBT,5,EagleDestroyed,EnemyPIBT_1,21,0,11218,8,21,0
