Run,Map,Algorithm,Rep,Outcome,Duration_s,EagleHP,AgentCount,EnemiesAlive,TotalReplans,TotalRecoveries,TotalShots,TotalCells
1,Alpha32,AStar,1,EagleDestroyed,35.63,-1,6,6,164,0,26036,68
2,Alpha32,AStar,2,EagleDestroyed,35.64,-1,6,6,165,0,27836,69
3,Alpha32,LNS2,1,EagleDestroyed,34.26,-1,6,6,144,0,30448,56
4,Alpha32,LNS2,2,EagleDestroyed,35.05,-1,6,6,143,0,31790,57
