Run,Map,Algorithm,Rep,Outcome,AgentName,Replans,Recoveries,Shots,CellsVisited,InitialPathLen,DeadAtEnd
1,Mansion,AStar,1,EagleDestroyed,Enemy_2,124,0,0,43,146,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_1,125,0,0,47,133,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_3,69,0,255,23,60,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_5,114,0,39,45,98,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_4,79,0,204,34,70,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_6,124,0,0,39,125,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_2,115,0,0,44,140,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_3,62,0,216,22,58,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_6,115,0,0,44,125,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_5,101,0,56,35,94,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_1,115,0,0,45,127,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_4,74,0,163,28,64,0
3,Mansion,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_2,96,0,0,96,0,0
3,Mansion,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_3,90,0,301,51,0,0
3,Mansion,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_1,92,0,0,96,0,0
3,Mansion,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_4,92,0,330,57,0,0
3,Mansion,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_6,101,0,0,80,0,0
3,Mansion,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_5,95,0,36,85,0,0
