Run,Map,Algorithm,Rep,Outcome,AgentName,Replans,Recoveries,Shots,CellsVisited,InitialPathLen,DeadAtEnd
1,Gallows,AStar,1,Timeout,Enemy_4,114,0,3650,55,93,0
1,Gallows,AStar,1,Timeout,Enemy_1,160,0,0,75,168,0
1,Gallows,AStar,1,Timeout,Enemy_3,160,0,0,79,153,0
1,Gallows,AStar,1,Timeout,Enemy_5,160,0,0,81,133,0
1,Gallows,AStar,1,Timeout,Enemy_6,160,0,0,82,160,0
1,Gallows,AStar,1,Timeout,Enemy_2,160,0,0,74,136,0
2,Gallows,PIBT,1,Timeout,EnemyPIBT_6,160,0,0,81,158,0
2,Gallows,PIBT,1,Timeout,EnemyPIBT_4,111,0,5876,46,89,0
2,Gallows,PIBT,1,Timeout,EnemyPIBT_2,160,0,0,73,136,0
2,Gallows,PIBT,1,Timeout,EnemyPIBT_5,160,0,0,81,133,0
2,Gallows,PIBT,1,Timeout,EnemyPIBT_3,160,0,0,76,149,0
2,Gallows,PIBT,1,Timeout,EnemyPIBT_1,160,0,0,79,162,0
3,Gallows,PIBT_TCP,1,Timeout,EnemyPIBT_TCP_2,469,0,0,106,0,0
3,Gallows,PIBT_TCP,1,Timeout,EnemyPIBT_TCP_6,469,0,0,112,0,0
3,Gallows,PIBT_TCP,1,Timeout,EnemyPIBT_TCP_5,469,0,0,112,0,0
3,Gallows,PIBT_TCP,1,Timeout,EnemyPIBT_TCP_3,469,0,0,114,0,0
3,Gallows,PIBT_TCP,1,Timeout,EnemyPIBT_TCP_4,469,0,2008,85,0,0
3,Gallows,PIBT_TCP,1,Timeout,EnemyPIBT_TCP_1,469,0,0,112,0,0
