Run,Map,Algorithm,Rep,Outcome,Duration_s,EagleHP,AgentCount,EnemiesAlive,TotalReplans,TotalRecoveries,TotalShots,TotalCells
1,Mansion,AStar,1,EagleDestroyed,92.20,-1,6,6,616,0,27568,279
2,Mansion,PIBT,1,EagleDestroyed,91.95,-1,6,6,740,0,71945,186
