Run,Map,Algorithm,Rep,Outcome,AgentName,Replans,Recoveries,Shots,CellsVisited,InitialPathLen,DeadAtEnd
1,Mansion,AStar,1,EagleDestroyed,Enemy_54,175,0,0,23,91,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_47,181,1,0,15,97,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_58,167,3,0,26,93,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_41,165,2,0,28,97,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_57,98,2,0,38,91,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_10,104,1,0,31,151,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_33,87,0,92,34,74,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_3,103,0,0,20,129,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_23,174,0,0,30,76,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_66,99,0,0,35,125,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_2,101,0,0,28,131,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_12,100,0,0,39,173,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_20,97,0,0,45,147,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_17,144,3,0,32,219,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_26,254,0,0,27,82,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_32,73,1,266,26,53,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_25,101,2,0,35,66,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_24,95,1,41,36,64,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_61,99,4,0,33,94,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_18,99,0,0,35,217,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_9,101,0,0,34,148,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_4,102,2,0,21,128,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_35,171,1,0,26,98,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_49,185,2,0,22,95,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_55,184,3,0,24,87,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_64,108,0,0,39,112,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_48,181,2,0,15,95,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_46,173,0,0,18,97,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_19,98,0,0,37,150,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_14,97,0,0,42,203,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_53,172,4,0,19,89,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_70,98,0,0,34,161,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_21,108,0,0,40,157,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_65,98,1,0,33,115,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_8,103,2,0,34,129,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_71,98,1,0,36,153,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_5,101,1,0,32,129,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_37,179,1,0,23,94,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_44,164,0,0,25,99,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_36,162,2,0,29,96,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_42,181,2,0,21,101,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_1,101,0,0,30,133,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_68,98,0,0,37,156,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_45,166,0,0,29,99,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_16,100,0,0,36,214,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_62,110,1,0,33,96,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_56,172,0,0,29,88,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_28,98,0,0,46,78,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_27,216,0,0,33,80,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_52,164,2,0,26,91,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_50,178,3,0,22,93,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_69,100,0,0,38,165,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_6,98,0,0,38,126,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_30,75,0,235,25,60,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_63,103,2,0,25,99,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_60,97,0,0,34,86,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_51,174,0,0,25,91,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_22,109,0,0,39,161,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_67,99,1,0,38,152,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_34,82,0,148,36,70,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_72,98,1,0,42,126,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_29,87,0,140,22,62,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_38,148,0,0,30,97,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_43,174,2,0,26,101,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_15,97,0,0,40,212,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_59,113,0,0,30,90,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_11,100,0,0,32,162,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_31,68,0,304,26,52,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_13,99,0,0,35,184,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_40,166,1,0,17,99,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_39,149,0,0,29,95,0
1,Mansion,AStar,1,EagleDestroyed,Enemy_7,100,1,0,40,131,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_27,85,3,27,11,80,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_65,99,20,0,24,113,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_5,97,11,0,3,129,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_46,106,17,0,9,81,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_61,105,7,0,2,92,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_14,95,6,0,14,203,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_6,113,13,0,2,126,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_13,111,2,0,7,202,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_68,104,4,0,13,156,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_71,94,6,0,13,151,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_7,115,5,0,17,137,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_50,106,19,0,10,91,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_22,118,9,0,3,161,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_31,159,9,0,12,56,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_17,102,11,0,8,265,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_4,126,18,0,19,124,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_67,98,9,0,9,158,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_15,97,13,0,0,222,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_10,95,4,0,13,151,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_34,72,6,66,14,62,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_53,114,12,0,3,101,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_23,101,15,0,3,80,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_47,128,11,0,12,103,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_29,118,11,0,9,62,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_11,95,10,0,15,162,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_70,112,6,0,6,193,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_63,96,11,0,27,125,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_43,99,14,0,13,95,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_66,96,2,0,9,121,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_37,134,10,0,5,88,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_57,106,20,0,27,83,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_20,100,17,0,5,145,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_36,135,5,0,13,92,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_48,119,15,0,14,91,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_18,94,5,0,12,265,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_3,128,15,0,5,127,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_26,127,2,0,7,82,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_45,148,6,0,6,91,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_41,121,9,0,16,91,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_25,100,18,0,22,68,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_58,178,5,0,3,85,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_12,96,13,0,22,175,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_52,128,14,0,10,87,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_55,112,17,0,20,95,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_30,64,3,91,7,58,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_21,98,13,0,8,167,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_59,161,13,0,4,84,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_54,88,8,21,3,77,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_9,99,8,0,13,146,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_64,98,8,0,8,116,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_40,136,0,0,19,93,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_39,109,16,0,3,83,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_69,96,9,0,42,171,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_24,140,5,0,8,66,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_62,96,2,0,13,94,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_16,118,13,0,11,256,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_49,158,4,0,8,93,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_33,148,0,0,19,68,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_35,132,2,0,2,94,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_60,108,13,0,8,108,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_56,154,11,0,9,108,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_19,138,2,0,15,158,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_28,109,7,0,6,76,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_38,116,7,0,4,87,0
2,Mansion,PIBT,1,EagleDestroyed,EnemyPIBT_44,137,11,0,11,91,0
