Run,Map,Algorithm,Rep,Outcome,AgentName,Replans,Recoveries,Shots,CellsVisited,InitialPathLen,DeadAtEnd
1,Rooms32,AStar,1,EagleDestroyed,Enemy_7,1582,0,0,12,30,0
1,Rooms32,AStar,1,EagleDestroyed,Enemy_11,1629,1,0,10,25,0
1,Rooms32,AStar,1,EagleDestroyed,Enemy_5,30,0,1489,12,25,0
1,Rooms32,AStar,1,EagleDestroyed,Enemy_8,1606,2,0,6,37,0
1,Rooms32,AStar,1,EagleDestroyed,Enemy_2,22,0,1860,8,23,0
1,Rooms32,AStar,1,EagleDestroyed,Enemy_12,1591,0,0,7,26,0
1,Rooms32,AStar,1,EagleDestroyed,Enemy_9,1608,2,0,8,31,0
1,Rooms32,AStar,1,EagleDestroyed,Enemy_1,26,0,1653,10,24,0
1,Rooms32,AStar,1,EagleDestroyed,Enemy_10,1589,0,0,9,27,0
1,Rooms32,AStar,1,EagleDestroyed,Enemy_4,1580,1,0,10,25,0
1,Rooms32,AStar,1,EagleDestroyed,Enemy_3,1605,1,0,9,29,0
1,Rooms32,AStar,1,EagleDestroyed,Enemy_6,1567,0,0,12,28,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_12,900,0,0,11,26,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_2,752,0,345,8,23,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_9,769,0,0,14,31,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_8,639,0,0,16,39,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_7,834,0,0,13,32,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_4,795,0,0,13,25,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_1,25,0,955,10,24,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_5,29,0,808,12,25,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_11,817,4,0,8,25,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_6,706,0,0,14,28,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_10,914,0,0,10,29,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_3,34,0,763,15,29,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_4,64,0,792,24,0,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_12,61,1,243,32,0,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_6,61,0,577,28,0,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_1,63,1,1345,19,0,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_8,62,0,0,34,0,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_9,60,0,0,24,0,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_3,64,0,412,27,0,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_2,67,1,928,20,0,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_5,61,2,852,25,0,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_11,61,0,231,34,0,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_10,61,0,986,21,0,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_7,62,0,0,25,0,0
