Run,Map,Algorithm,Rep,Outcome,AgentName,Replans,Recoveries,Shots,CellsVisited,InitialPathLen,DeadAtEnd
1,Alpha32,AStar,1,EagleDestroyed,Enemy_3,31,0,3691,11,29,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_4,29,1,3941,10,18,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_2,31,0,3574,15,30,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_5,16,0,7008,7,18,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_6,18,0,6310,8,21,0
1,Alpha32,AStar,1,EagleDestroyed,Enemy_1,39,0,1868,15,30,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_6,17,0,6750,7,17,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_1,30,0,3642,10,30,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_2,31,0,3509,11,30,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_4,18,1,6625,6,16,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_5,14,0,7291,10,16,0
2,Alpha32,PIBT,1,EagleDestroyed,EnemyPIBT_3,31,0,3467,15,29,0
3,Alpha32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_2,92,0,0,9,0,0
3,Alpha32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_6,92,0,9186,14,0,0
3,Alpha32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_3,92,0,1786,36,0,0
3,Alpha32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_4,92,0,8332,15,0,0
3,Alpha32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_5,92,0,9993,12,0,0
3,Alpha32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_1,92,0,0,28,0,0
