Run,Map,Algorithm,Rep,Outcome,Duration_s,EagleHP,EagleHPMax,EagleHPLostPct,AgentCount,EnemiesAlive,TotalReplans,TotalRecoveries,TotalShots,TotalCells
54,Chantry,PIBT_TCP,6,EagleDestroyed,166.62,-1,500,0.0,6,6,1803,70,56860,672
55,Gallows,AStar,1,EagleDestroyed,129.19,-1,500,0.0,6,6,1261,19,46383,336
56,Gallows,AStar,2,EagleDestroyed,129.49,-1,500,0.0,6,6,1257,8,35751,311
57,Gallows,AStar,3,EagleDestroyed,129.44,-1,500,0.0,6,6,1278,13,39787,328
58,Gallows,AStar,4,EagleDestroyed,130.47,-1,500,0.0,6,6,1254,12,41859,334
59,Gallows,AStar,5,EagleDestroyed,129.43,-1,500,0.0,6,6,1230,17,51102,351
60,Gallows,AStar,6,EagleDestroyed,129.99,-1,500,0.0,6,6,1256,3,46039,332
61,Gallows,PIBT,1,EagleDestroyed,159.35,-1,500,0.0,6,6,4943,197,36120,277
62,Gallows,PIBT,2,EagleDestroyed,158.96,-1,500,0.0,6,6,2729,378,27784,258
63,Gallows,PIBT,3,EagleDestroyed,158.46,-1,500,0.0,6,6,3293,278,31807,228
64,Gallows,PIBT,4,EagleDestroyed,159.30,-1,500,0.0,6,6,5207,400,30128,269
65,Gallows,PIBT,5,EagleDestroyed,157.58,-1,500,0.0,6,6,3709,183,43095,236
66,Gallows,PIBT,6,EagleDestroyed,159.32,-1,500,0.0,6,6,5384,737,38253,244
67,Gallows,PIBT_TCP,1,EagleDestroyed,148.36,-1,500,0.0,6,6,1218,24,65374,508
68,Gallows,PIBT_TCP,2,EagleDestroyed,143.35,-1,500,0.0,6,6,1365,41,45342,491
69,Gallows,PIBT_TCP,3,EagleDestroyed,145.71,-1,500,0.0,6,6,1375,17,59421,540
70,Gallows,PIBT_TCP,4,EagleDestroyed,142.90,-1,500,0.0,6,6,1430,37,54737,548
71,Gallows,PIBT_TCP,5,EagleDestroyed,147.33,-1,500,0.0,6,6,1251,31,48615,583
72,Gallows,PIBT_TCP,6,EagleDestroyed,144.32,-1,500,0.0,6,6,1305,36,57699,467
73,Maze128,AStar,1,Timeout,180.00,479,500,4.2,6,6,1478,14,0,697
74,Maze128,AStar,2,Timeout,180.00,478,500,4.3,6,6,1417,17,0,541
75,Maze128,AStar,3,Timeout,180.00,481,500,3.9,6,6,1453,19,0,548
76,Maze128,AStar,4,Timeout,180.00,480,500,4.1,6,6,1474,15,0,574
77,Maze128,AStar,5,Timeout,180.00,477,500,4.5,6,6,1488,23,0,532
78,Maze128,AStar,6,Timeout,180.00,482,500,3.7,6,6,1462,9,0,588
79,Maze128,PIBT,1,Timeout,180.00,480,500,4.0,6,6,1504,461,0,489
80,Maze128,PIBT,2,Timeout,180.00,481,500,3.8,6,6,1496,18,0,473
81,Maze128,PIBT,3,Timeout,180.00,478,500,4.4,6,6,1446,474,0,426
82,Maze128,PIBT,4,Timeout,180.00,481,500,3.8,6,6,1428,519,0,455
