Run,Map,Algorithm,Rep,Outcome,AgentName,Replans,Recoveries,Shots,CellsVisited,InitialPathLen,DeadAtEnd
1,Gallows,AStar,1,EagleDestroyed,Enemy_6,149,0,0,75,133,0
1,Gallows,AStar,1,EagleDestroyed,Enemy_1,67,0,4653,33,60,0
1,Gallows,AStar,1,EagleDestroyed,Enemy_3,149,0,0,79,156,0
1,Gallows,AStar,1,EagleDestroyed,Enemy_2,117,0,1776,56,92,0
1,Gallows,AStar,1,EagleDestroyed,Enemy_4,149,0,0,70,120,0
1,Gallows,AStar,1,EagleDestroyed,Enemy_5,150,0,0,73,136,0
2,Gallows,PIBT,1,EagleDestroyed,EnemyPIBT_4,147,0,612,71,120,0
2,Gallows,PIBT,1,EagleDestroyed,EnemyPIBT_5,161,0,0,70,136,0
2,Gallows,PIBT,1,EagleDestroyed,EnemyPIBT_2,2216,1,0,47,92,0
2,Gallows,PIBT,1,EagleDestroyed,EnemyPIBT_3,161,0,0,83,152,0
2,Gallows,PIBT,1,EagleDestroyed,EnemyPIBT_1,62,0,5932,31,54,0
2,Gallows,PIBT,1,EagleDestroyed,EnemyPIBT_6,161,0,0,79,133,0
3,Gallows,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_1,452,0,6618,46,0,0
3,Gallows,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_5,452,0,0,100,0,0
3,Gallows,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_6,452,0,0,102,0,0
3,Gallows,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_2,452,0,1901,86,0,0
3,Gallows,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_3,452,0,0,110,0,0
3,Gallows,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_4,452,0,0,99,0,0
